understat_match_id,understat_player_id,understat_team,player_name,minute,x,y,xg,result,shot_type,situation,side,last_action,player_assisted,season,source
29162,2234,Real Sociedad,Mikel Oyarzabal,63,82.0,34.48,0.0298,Blocked,Left Foot,Open Play,a,Pass,Remiro,2025,understat
29162,9465,Real Sociedad,Beñat Turrientes,65,85.37,34.82,0.0442,Blocked,Left Foot,From Corner,a,Pass,Ander Barrenetxea,2025,understat
29162,13048,Real Sociedad,Orri Óskarsson,68,93.87,22.03,0.4632,Off T,Right Foot,Open Play,a,Throughball,Mikel Oyarzabal,2025,understat
29162,7308,Real Sociedad,Ander Barrenetxea,72,90.3,46.51,0.0196,Off T,Right Foot,Open Play,a,Cross,Jon Aramburu,2025,understat
29162,2234,Real Sociedad,Mikel Oyarzabal,85,88.52,44.74,0.0461,Saved,Right Foot,Open Play,a,None,,2025,understat
29162,5682,Real Sociedad,Gonçalo Guedes,89,96.18,20.4,0.0563,Blocked,Right Foot,Open Play,a,Pass,Remiro,2025,understat
29163,2290,Celta Vigo,Iago Aspas,20,101.64,25.7,0.3382,Saved,Left Foot,Open Play,h,Throughball,Óscar Mingueza,2025,understat
29163,9011,Celta Vigo,Óscar Mingueza,29,89.15,23.6,0.0761,Off T,Right Foot,Open Play,h,LayOff,Iago Aspas,2025,understat
29163,1621,Celta Vigo,Marcos Alonso,60,81.06,15.98,0.046,Blocked,Left Foot,Direct Freekick,h,Standard,,2025,understat
29163,8549,Celta Vigo,Ferrán Jutglà,63,89.78,32.23,0.0302,Off T,Head,From Corner,h,Cross,Jones El Abdellaoui,2025,understat
29163,10143,Celta Vigo,Bryan Zaragoza,68,94.71,44.47,0.0854,Off T,Right Foot,Open Play,h,None,,2025,understat
29163,2290,Celta Vigo,Iago Aspas,69,81.58,21.08,0.0214,Saved,Left Foot,Open Play,h,Pass,Jones El Abdellaoui,2025,understat
29163,2290,Celta Vigo,Iago Aspas,70,81.38,20.81,0.0161,Saved,Left Foot,Open Play,h,None,,2025,understat
29163,1621,Celta Vigo,Marcos Alonso,72,71.3,41.0,0.0097,Blocked,Left Foot,Open Play,h,Pass,Javier Rodríguez,2025,understat
29163,11154,Celta Vigo,Pablo Durán,85,99.12,44.27,0.0129,Blocked,Head,From Corner,h,Aerial,Óscar Mingueza,2025,understat
29163,2290,Celta Vigo,Iago Aspas,94,91.98,27.95,0.0869,Blocked,Right Foot,Open Play,h,Pass,Borja Iglesias,2025,understat
29163,10143,Celta Vigo,Bryan Zaragoza,95,81.27,40.32,0.0214,Blocked,Right Foot,From Corner,h,None,,2025,understat
29163,11349,Getafe,Mario Martín,3,80.22,40.8,0.0241,Blocked,Right Foot,Open Play,a,Pass,Luis Milla,2025,understat
29163,3264,Getafe,Mauro Arambarri,12,83.68,23.94,0.0329,Off T,Right Foot,From Corner,a,Pass,Luis Milla,2025,understat
29163,5065,Getafe,Diego Rico,36,74.55,35.16,0.0138,Off T,Left Foot,From Corner,a,None,,2025,understat
29163,12726,Getafe,Christantus Uche,38,90.4,29.51,0.0726,Off T,Right Foot,Open Play,a,None,Mauro Arambarri,2025,understat
29163,13788,Getafe,Davinchi,45,100.48,22.85,0.0702,Blocked,Left Foot,Open Play,a,BallTouch,,2025,understat
29163,13789,Getafe,Adrián Liso,46,94.5,31.14,0.4361,Goal,Left Foot,Open Play,a,Pass,Christantus Uche,2025,understat
29163,11349,Getafe,Mario Martín,52,75.7,35.29,0.0111,Blocked,Right Foot,Set Piece,a,None,,2025,understat
29163,12726,Getafe,Christantus Uche,71,95.23,37.06,0.7212,Goal,Left Foot,Open Play,a,TakeOn,Ismael Bekhoucha,2025,understat
29163,11349,Getafe,Mario Martín,82,88.62,37.81,0.1038,Blocked,Right Foot,Open Play,a,Pass,Christantus Uche,2025,understat
29163,3264,Getafe,Mauro Arambarri,87,92.08,38.76,0.0155,Saved,Head,Open Play,a,Aerial,Christantus Uche,2025,understat
29164,13417,Athletic Club,Maroan Sannadi,1,97.75,29.92,0.1007,Off T,Left Foot,Open Play,h,Cross,Jesús Areso,2025,understat
29164,2229,Athletic Club,Yuri,3,94.29,29.78,0.0776,Blocked,Left Foot,From Corner,h,Pass,Nico Williams,2025,understat
29164,2399,Athletic Club,Iñaki Williams,11,77.91,50.59,0.0241,Blocked,Right Foot,From Corner,h,Pass,Mikel Jauregizar,2025,understat
29164,9211,Athletic Club,Nico Williams,13,84.63,36.72,0.0687,Blocked,Right Foot,Open Play,h,TakeOn,Iñaki Williams,2025,understat
29164,9211,Athletic Club,Nico Williams,18,101.85,49.64,0.0349,Blocked,Right Foot,Open Play,h,TakeOn,Iñaki Williams,2025,understat
29164,8948,Athletic Club,Aitor Paredes,21,97.65,36.52,0.0587,Off T,Head,From Corner,h,Aerial,Alex Berenguer,2025,understat
29164,6766,Athletic Club,Dani Vivian,21,95.34,31.55,0.1269,Blocked,Right Foot,From Corner,h,Rebound,,2025,understat
29164,9211,Athletic Club,Nico Williams,35,92.92,34.0,0.7433,Goal,Right Foot,Penalty,h,Standard,,2025,understat
29164,13417,Athletic Club,Maroan Sannadi,42,100.28,33.8,0.6293,Goal,Right Foot,Open Play,h,None,,2025,understat
29164,5091,Athletic Club,Alex Berenguer,44,89.15,22.3,0.0664,Blocked,Left Foot,Open Play,h,Pass,Nico Williams,2025,understat
29164,5091,Athletic Club,Alex Berenguer,49,90.93,29.44,0.1256,Blocked,Left Foot,Open Play,h,Pass,Jesús Areso,2025,understat
29164,9211,Athletic Club,Nico Williams,50,97.86,36.92,0.4923,Post,Left Foot,Open Play,h,BallTouch,Maroan Sannadi,2025,understat
29164,9755,Athletic Club,Inigo Ruiz de Galarreta,52,81.27,39.78,0.0218,Blocked,Left Foot,From Corner,h,None,,2025,understat
29164,8765,Athletic Club,Roberto Navarro,80,97.86,38.15,0.1131,Goal,Right Foot,Open Play,h,Chipped,Nico Williams,2025,understat
29164,11783,Sevilla,Akor Adams,4,93.03,45.7,0.2678,Saved,Left Foot,Open Play,a,Pass,Stanis Idumbo Muzambo,2025,understat
29164,12426,Sevilla,Stanis Idumbo Muzambo,29,88.3,42.16,0.0495,Blocked,Right Foot,Open Play,a,Pass,Lucien Agoume,2025,understat
29164,7888,Sevilla,Nemanja Gudelj,55,89.15,34.75,0.0531,Saved,Right Foot,From Corner,a,BallTouch,Chidera Ejuke,2025,understat
29164,5706,Sevilla,Dodi Lukebakio,59,77.38,23.73,0.014,Goal,Left Foot,Open Play,a,Pass,Juanlu Sanchez,2025,understat
29164,11783,Sevilla,Akor Adams,62,100.07,46.38,0.0481,Saved,Left Foot,Open Play,a,Chipped,Kike Salas,2025,understat
29164,5706,Sevilla,Dodi Lukebakio,62,90.72,20.81,0.0406,Off T,Left Foot,Open Play,a,Rebound,,2025,understat
29164,8694,Sevilla,Chidera Ejuke,64,93.24,46.92,0.0641,Off T,Right Foot,Open Play,a,TakeOn,José Ángel Carmona,2025,understat
29164,11783,Sevilla,Akor Adams,65,95.13,31.08,0.1413,Off T,Left Foot,Open Play,a,Pass,Dodi Lukebakio,2025,understat
29164,9809,Sevilla,José Ángel Carmona,69,96.92,45.97,0.0436,Saved,Right Foot,Open Play,a,TakeOn,Chidera Ejuke,2025,understat
29164,2624,Sevilla,Djibril Sow,69,91.67,38.83,0.0741,Off T,Right Foot,Open Play,a,Rebound,,2025,understat
29164,8165,Sevilla,Lucien Agoume,71,86.31,29.72,0.0509,Goal,Left Foot,Open Play,a,BallTouch,Akor Adams,2025,understat
29164,12305,Sevilla,Isaac Romero,95,90.82,33.52,0.0595,Blocked,Right Foot,Open Play,a,Cross,Dodi Lukebakio,2025,understat
29165,5081,Espanyol,Edu Expósito,14,74.13,37.81,0.0095,Off T,Right Foot,Open Play,h,Aerial,,2025,understat
29165,13350,Espanyol,Roberto Fernández,16,75.39,45.63,0.0102,Saved,Right Foot,Open Play,h,TakeOn,,2025,understat
29165,6168,Espanyol,Leandro Cabrera,18,96.08,32.23,0.0577,Saved,Head,Set Piece,h,Aerial,Edu Expósito,2025,understat
29165,6933,Espanyol,Javi Puado,46,91.35,28.08,0.0112,Saved,Head,Open Play,h,Aerial,Edu Expósito,2025,understat
29165,11402,Espanyol,Carlos Romero,48,80.64,40.46,0.0237,Off T,Left Foot,Open Play,h,TakeOn,Kike García,2025,understat
29165,5074,Espanyol,Kike García,50,96.28,31.48,0.0995,Off T,Head,Open Play,h,Cross,Carlos Romero,2025,understat
29165,6740,Espanyol,Miguel Ángel Rubio,72,100.9,31.96,0.563,Goal,Right Foot,Set Piece,h,Chipped,Edu Expósito,2025,understat
29165,4175,Espanyol,Pere Milla,80,101.85,31.42,0.6141,Off T,Head,Set Piece,h,Aerial,Edu Expósito,2025,understat
29165,4175,Espanyol,Pere Milla,83,91.25,28.29,0.0261,Goal,Head,Open Play,h,Cross,Omar El Hilali,2025,understat
29165,9040,Atletico Madrid,Conor Gallagher,7,97.55,21.56,0.0662,Off T,Right Foot,Open Play,a,Pass,Marcos Llorente,2025,understat
29165,7086,Atletico Madrid,David Hancko,13,96.92,41.82,0.0347,Saved,Head,From Corner,a,Cross,Álex Baena,2025,understat
29165,10846,Atletico Madrid,Julián Álvarez,20,83.58,44.34,0.0364,Saved,Left Foot,Open Play,a,TakeOn,Álex Baena,2025,understat
29165,9796,Atletico Madrid,Giuliano Simeone,22,85.89,30.87,0.0593,Blocked,Left Foot,Open Play,a,Pass,Álex Baena,2025,understat
29165,10846,Atletico Madrid,Julián Álvarez,28,86.0,35.63,0.0642,Saved,Right Foot,Open Play,a,Pass,Giuliano Simeone,2025,understat
