id_transfermarkt,canonical_name,nationality,birth_date,position,competition,team_name,team_slug,team_id_tm,season,source
263727,Joan Jordán,España,1994-07-06,Mediocentro,La Liga,Sevilla FC,fc-sevilla,368,2025,transfermarkt
264372,Viktor Tsygankov,Ucrania,1997-11-15,Extremo derecho,La Liga,Girona FC,fc-girona,12321,2025,transfermarkt
268642,Renzo Saravia,Argentina,1993-06-16,Lateral derecho,La Liga,Valencia CF,fc-valencia,1049,2025,transfermarkt
268670,Gerard Gumbau,España,1994-12-18,Pivote,La Liga,Rayo Vallecano,rayo-vallecano,367,2025,transfermarkt
271455,Mihailo Ristic,Serbia,1995-10-31,Lateral izquierdo,La Liga,RC Celta de Vigo,celta-vigo,940,2025,transfermarkt
275218,Augusto Batalla,Argentina,1996-04-30,Portero,La Liga,Rayo Vallecano,rayo-vallecano,367,2025,transfermarkt
276111,David Costas,España,1995-03-26,Defensa central,La Liga,Real Oviedo,real-oviedo,2497,2025,transfermarkt
277384,Martin Valjent,Eslovaquia,1995-12-11,Defensa central,La Liga,RCD Mallorca,rcd-mallorca,237,2025,transfermarkt
277533,Josan,España,1989-12-03,Extremo derecho,La Liga,Elche CF,fc-elche,1531,2025,transfermarkt
278296,Antonio Raíllo,España,1991-10-08,Defensa central,La Liga,RCD Mallorca,rcd-mallorca,237,2025,transfermarkt
278359,Borja Iglesias,España,1993-01-17,Delantero centro,La Liga,RC Celta de Vigo,celta-vigo,940,2025,transfermarkt
278837,Luis Rioja,España,1993-10-16,Extremo derecho,La Liga,Valencia CF,fc-valencia,1049,2025,transfermarkt
280730,Álvaro Odriozola,España,1995-12-14,Lateral derecho,La Liga,Real Sociedad,real-sociedad-san-sebastian,681,2025,transfermarkt
281989,Luis Milla,España,1994-10-07,Mediocentro,La Liga,Getafe CF,fc-getafe,3709,2025,transfermarkt
282411,Marcos Llorente,España,1995-01-30,Lateral derecho,La Liga,Atlético de Madrid,atletico-madrid,13,2025,transfermarkt
282421,Javi Muñoz,España,1995-02-28,Mediocentro,La Liga,Getafe CF,fc-getafe,3709,2025,transfermarkt
283170,Iñaki Peña,España,1999-03-02,,La Liga,FC Barcelona,fc-barcelona,131,2025,transfermarkt
284430,Aarón Escandell,España,1995-09-27,Portero,La Liga,Real Oviedo,real-oviedo,2497,2025,transfermarkt
284854,Carles Aleñá,España,1998-01-05,Mediocentro,La Liga,Deportivo Alavés,deportivo-alaves,1108,2025,transfermarkt
285323,Baptiste Santamaria,Francia,1995-03-09,Pivote,La Liga,Valencia CF,fc-valencia,1049,2025,transfermarkt
286384,Eric Bailly,Costa de Marfil,1994-04-12,Defensa central,La Liga,Real Oviedo,real-oviedo,2497,2025,transfermarkt
286415,Pau López,España,1994-12-13,Portero,La Liga,Real Betis Balompié,real-betis-sevilla,150,2025,transfermarkt
287579,Sofyan Amrabat,Marruecos,1996-08-21,Pivote,La Liga,Real Betis Balompié,real-betis-sevilla,150,2025,transfermarkt
288255,Donny van de Beek,Países Bajos,1997-04-18,Mediocentro,La Liga,Girona FC,fc-girona,12321,2025,transfermarkt
289255,Andoni Gorosabel,España,1996-08-04,Lateral derecho,La Liga,Athletic Club,athletic-bilbao,621,2025,transfermarkt
289257,Jon Guridi,España,1995-02-28,Mediocentro,La Liga,Deportivo Alavés,deportivo-alaves,1108,2025,transfermarkt
