whoscored_match_id,venue_name,manager_home,manager_away,ht_score,ft_score,attendance,referee_id_whoscored,referee_name,start_time
1485200,Old Trafford,Ole Gunnar Solskjær,Roy Hodgson,0 : 1,1 : 3,,86,Martin Atkinson,2020-09-19T18:30:00
1485201,St. James' Park,Steve Bruce,Graham Potter,0 : 2,0 : 3,,120,Kevin Friend,2020-09-20T15:00:00
1485202,St. Mary's Stadium,Ralph Hasenhüttl,José Mourinho,1 : 1,2 : 5,,150,David Coote,2020-09-20T13:00:00
1485203,Molineux Stadium,Nuno Espírito Santo,Josep Guardiola,0 : 2,1 : 3,,107,Andre Marriner,2020-09-21T21:15:00
1485204,Amex Stadium,Graham Potter,Ole Gunnar Solskjær,1 : 1,2 : 3,,780,Chris Kavanagh,2020-09-26T13:30:00
1485205,Turf Moor,Sean Dyche,Ralph Hasenhüttl,0 : 1,0 : 1,,107,Andre Marriner,2020-09-26T21:00:00
1485206,Selhurst Park,Roy Hodgson,Carlo Ancelotti,1 : 2,1 : 2,,120,Kevin Friend,2020-09-26T16:00:00
1485207,Craven Cottage,Scott Parker,Dean Smith,0 : 2,0 : 3,,81,Stuart Attwell,2020-09-28T18:45:00
1485208,Anfield,Jürgen Klopp,Mikel Arteta,2 : 1,3 : 1,,104,Craig Pawson,2020-09-28T21:00:00
1485209,Etihad Stadium,Josep Guardiola,Brendan Rodgers,1 : 1,2 : 5,,89,Michael Oliver,2020-09-27T17:30:00
1485210,Bramall Lane,Chris Wilder,Marcelo Bielsa,0 : 0,0 : 1,,95,Paul Tierney,2020-09-27T13:00:00
1485211,Tottenham Hotspur Stadium,José Mourinho,Steve Bruce,1 : 0,1 : 1,,133,Peter Bankes,2020-09-27T15:00:00
1485212,The Hawthorns,Slaven Bilic,Frank Lampard,3 : 0,3 : 3,,102,Jonathan Moss,2020-09-26T18:30:00
1485213,London Stadium,David Moyes,Nuno Espírito Santo,1 : 0,4 : 0,,86,Martin Atkinson,2020-09-27T20:00:00
1485214,Emirates Stadium,Mikel Arteta,Chris Wilder,0 : 0,2 : 1,,83,Lee Mason,2020-10-04T15:00:00
1485215,Villa Park,Dean Smith,Jürgen Klopp,4 : 1,7 : 2,,86,Martin Atkinson,2020-10-04T20:15:00
1485216,Stamford Bridge,Frank Lampard,Roy Hodgson,0 : 0,4 : 0,,89,Michael Oliver,2020-10-03T13:30:00
1485217,Goodison Park,Carlo Ancelotti,Graham Potter,2 : 1,4 : 2,,113,Simon Hooper,2020-10-03T16:00:00
1485218,Elland Road,Marcelo Bielsa,Josep Guardiola,0 : 1,1 : 1,,85,Mike Dean,2020-10-03T18:30:00
1485219,King Power Stadium,Brendan Rodgers,David Moyes,0 : 2,0 : 3,,125,Andy Madley,2020-10-04T13:00:00
1485220,Old Trafford,Ole Gunnar Solskjær,José Mourinho,1 : 4,1 : 6,,99,Anthony Taylor,2020-10-04T17:30:00
1485221,St. James' Park,Steve Bruce,Sean Dyche,1 : 0,3 : 1,,150,David Coote,2020-10-03T21:00:00
1485222,St. Mary's Stadium,Ralph Hasenhüttl,Slaven Bilic,1 : 0,2 : 0,,780,Chris Kavanagh,2020-10-04T13:00:00
1485223,Molineux Stadium,Nuno Espírito Santo,Scott Parker,0 : 0,1 : 0,,132,Darren England,2020-10-04T15:00:00
1485224,Stamford Bridge,Frank Lampard,Ralph Hasenhüttl,2 : 1,3 : 3,,133,Peter Bankes,2020-10-17T16:00:00
1485225,Selhurst Park,Roy Hodgson,Graham Potter,1 : 0,1 : 1,,81,Stuart Attwell,2020-10-18T15:00:00
1485226,Goodison Park,Carlo Ancelotti,Jürgen Klopp,1 : 1,2 : 2,,89,Michael Oliver,2020-10-17T13:30:00
1485227,Elland Road,Marcelo Bielsa,Nuno Espírito Santo,0 : 0,0 : 1,,150,David Coote,2020-10-19T21:00:00
1485228,King Power Stadium,Brendan Rodgers,Dean Smith,0 : 0,0 : 1,,102,Jonathan Moss,2020-10-18T20:15:00
1485229,Etihad Stadium,Josep Guardiola,Mikel Arteta,1 : 0,1 : 0,,780,Chris Kavanagh,2020-10-17T18:30:00
1485230,St. James' Park,Steve Bruce,Ole Gunnar Solskjær,1 : 1,1 : 4,,104,Craig Pawson,2020-10-17T21:00:00
1485231,Bramall Lane,Chris Wilder,Scott Parker,0 : 0,1 : 1,,107,Andre Marriner,2020-10-18T13:00:00
1485232,Tottenham Hotspur Stadium,José Mourinho,David Moyes,3 : 0,3 : 3,,95,Paul Tierney,2020-10-18T17:30:00
1485233,The Hawthorns,Slaven Bilic,Sean Dyche,0 : 0,0 : 0,,99,Anthony Taylor,2020-10-19T18:30:00
1485234,Emirates Stadium,Mikel Arteta,Brendan Rodgers,0 : 0,0 : 1,,104,Craig Pawson,2020-10-25T20:15:00
1485235,Villa Park,Dean Smith,Marcelo Bielsa,0 : 0,0 : 3,,95,Paul Tierney,2020-10-23T21:00:00
1485236,Amex Stadium,Graham Potter,Slaven Bilic,1 : 0,1 : 1,,102,Jonathan Moss,2020-10-26T18:30:00
1485237,Turf Moor,Sean Dyche,José Mourinho,0 : 0,0 : 1,,89,Michael Oliver,2020-10-26T21:00:00
1485238,Amex Stadium,Graham Potter,Jürgen Klopp,0 : 0,1 : 1,,81,Stuart Attwell,2020-11-28T13:30:00
1485239,Craven Cottage,Scott Parker,Roy Hodgson,0 : 1,1 : 2,,131,Graham Scott,2020-10-24T16:00:00
1485240,Stamford Bridge,Frank Lampard,José Mourinho,0 : 0,0 : 0,,95,Paul Tierney,2020-11-29T17:30:00
1485241,Anfield,Jürgen Klopp,Chris Wilder,1 : 1,2 : 1,,85,Mike Dean,2020-10-24T21:00:00
1485242,Selhurst Park,Roy Hodgson,Steve Bruce,0 : 0,0 : 2,,131,Graham Scott,2020-11-27T21:00:00
1485243,Old Trafford,Ole Gunnar Solskjær,Frank Lampard,0 : 0,0 : 0,,86,Martin Atkinson,2020-10-24T18:30:00
1485244,Goodison Park,Carlo Ancelotti,Marcelo Bielsa,0 : 0,0 : 1,,780,Chris Kavanagh,2020-11-28T18:30:00
1485245,St. Mary's Stadium,Ralph Hasenhüttl,Carlo Ancelotti,2 : 0,2 : 0,,120,Kevin Friend,2020-10-25T15:00:00
1485246,King Power Stadium,Brendan Rodgers,Scott Parker,0 : 2,1 : 2,,113,Simon Hooper,2020-11-30T18:30:00
1485247,London Stadium,David Moyes,Josep Guardiola,1 : 0,1 : 1,,99,Anthony Taylor,2020-10-24T13:30:00
1485248,Etihad Stadium,Josep Guardiola,Sean Dyche,3 : 0,5 : 0,,83,Lee Mason,2020-11-28T16:00:00
1485249,Molineux Stadium,Nuno Espírito Santo,Steve Bruce,0 : 0,1 : 1,,83,Lee Mason,2020-10-25T17:30:00
1485250,St. Mary's Stadium,Ralph Hasenhüttl,Ole Gunnar Solskjær,2 : 0,2 : 3,,102,Jonathan Moss,2020-11-29T15:00:00
1485251,Villa Park,Dean Smith,Ralph Hasenhüttl,0 : 3,3 : 4,,132,Darren England,2020-11-01T13:00:00
