id_sofascore,id_understat,id_whoscored,attendance,temperature_c,humidity_pct,precipitation_mm,wind_speed_kmh,weather_code
8805151,,1469851,,10.7,94,45.5,13.7,63
8833455,14184,1481011,,6.5,90,6.0,33.6,63
8805148,,1469954,,12.7,95,37.4,28.2,63
8805154,,1469895,,13.8,88,12.3,34.5,63
8896923,14109,1485205,,6.6,89,0.0,18.2,2
8966263,14161,,,17.9,53,0.0,23.3,0
8833451,14185,1481012,,9.9,96,145.6,22.9,63
8896933,14107,1485206,,9.2,83,0.1,32.3,51
8805146,,1469898,,12.9,87,0.5,3.2,53
8738573,14218,1463962,,8.8,99,1.5,7.8,61
8738556,14221,1463967,,9.3,84,1.5,10.0,61
8896946,14110,1485210,,6.8,92,0.0,9.8,51
8954086,,1490895,,19.6,72,0.0,25.1,0
8953837,,1490872,,14.5,85,0.0,14.8,2
8896960,14113,1485496,,10.4,85,0.4,21.7,53
8833465,14190,1481007,,4.6,87,0.0,4.1,51
8966265,14156,,,14.0,66,0.0,13.5,51
8738576,14223,1463968,,10.7,91,0.4,5.0,53
8966264,14155,,,10.6,59,0.0,11.9,0
8833457,14189,1481006,,8.4,78,0.0,5.1,2
8738571,14219,,,11.3,72,0.0,18.3,51
8966327,14159,,,20.6,77,0.0,13.8,2
8896939,14111,1485492,,10.4,85,0.4,21.7,53
8970337,14131,1495380,,12.8,87,0.9,22.4,53
8738570,14220,1463966,,17.3,59,1.1,9.0,61
8966261,14158,,,10.5,82,0.1,19.0,51
8966336,14160,,,10.5,85,0.3,17.4,53
8805139,,1469930,,12.4,89,2.9,4.9,61
8953829,,1490885,,14.5,85,0.0,14.8,2
8896934,14112,1485488,,7.6,79,0.0,12.0,51
8805137,,1469950,,11.7,83,0.5,3.9,53
8805165,,1469949,,14.3,88,2.1,5.4,61
8953886,,1490877,,11.0,79,0.0,7.6,2
8738568,14222,1463964,,13.1,78,0.0,25.2,2
8896930,14115,1485208,,12.5,97,0.9,13.7,53
8970345,14132,1495375,,12.0,74,0.0,8.9,51
8896937,14114,1485480,,12.6,95,1.1,8.4,61
8953875,,,,17.8,79,0.0,24.3,2
9006813,,,,15.3,72,0.1,28.5,51
