whoscored_player_id,name,whoscored_team_id,position,shirt_no,season,source,competition
349760,Ferran Torres,65,FW,7,2025/26,whoscored,La Liga
130331,Andreas Christensen,65,Sub,15,2025/26,whoscored,La Liga
301019,Jules Koundé,65,Sub,23,2025/26,whoscored,La Liga
29400,Robert Lewandowski,65,Sub,9,2025/26,whoscored,La Liga
261212,Dani Olmo,65,Sub,20,2025/26,whoscored,La Liga
422937,Gavi,65,Sub,6,2025/26,whoscored,La Liga
572374,Jofre Torrents,65,Sub,26,2025/26,whoscored,La Liga
572375,Dro Fernández,65,Sub,27,2025/26,whoscored,La Liga
367164,Iñaki Peña,65,Sub,1,2025/26,whoscored,La Liga
463838,Fermín López,65,Sub,16,2025/26,whoscored,La Liga
497922,Diego Kochen,65,Sub,31,2025/26,whoscored,La Liga
534797,Toni Fernández,65,Sub,29,2025/26,whoscored,La Liga
423108,Julen Agirrezabala,55,GK,25,2025/26,whoscored,La Liga
101084,Dimitri Foulquier,55,DR,20,2025/26,whoscored,La Liga
427831,César Tárrega,55,DC,5,2025/26,whoscored,La Liga
444252,Copete,55,DC,3,2025/26,whoscored,La Liga
119817,José Gayà,55,DL,14,2025/26,whoscored,La Liga
381713,Luis Rioja,55,MR,11,2025/26,whoscored,La Liga
302889,Pepelu,55,MC,18,2025/26,whoscored,La Liga
431507,Javi Guerra,55,MC,8,2025/26,whoscored,La Liga
422656,Diego López,55,ML,16,2025/26,whoscored,La Liga
334221,Dani Raba,55,FW,19,2025/26,whoscored,La Liga
354526,Hugo Duro,55,FW,9,2025/26,whoscored,La Liga
236558,Baptiste Santamaría,55,Sub,22,2025/26,whoscored,La Liga
323625,Arnaut Danjuma,55,Sub,7,2025/26,whoscored,La Liga
322246,André Almeida,55,Sub,10,2025/26,whoscored,La Liga
408732,Jesús Vázquez,55,Sub,21,2025/26,whoscored,La Liga
379684,Filip Ugrinic,55,Sub,23,2025/26,whoscored,La Liga
322095,Mouctar Diakhaby,55,Sub,4,2025/26,whoscored,La Liga
510999,David Otorbi,55,Sub,27,2025/26,whoscored,La Liga
550572,Pablo López,55,Sub,33,2025/26,whoscored,La Liga
429421,Rubén Iranzo,55,Sub,26,2025/26,whoscored,La Liga
371599,Cristian Rivero,55,Sub,13,2025/26,whoscored,La Liga
301034,Eray Cömert,55,Sub,24,2025/26,whoscored,La Liga
578262,Aimar Blázquez,55,Sub,37,2025/26,whoscored,La Liga
270504,Álex Remiro,68,GK,1,2025/26,whoscored,La Liga
463961,Jon Aramburu,68,DR,2,2025/26,whoscored,La Liga
251134,Duje Caleta-Car,68,DC,16,2025/26,whoscored,La Liga
315566,Igor Zubeldia,68,DC,5,2025/26,whoscored,La Liga
367583,Aihen Muñoz,68,DL,3,2025/26,whoscored,La Liga
407138,Beñat Turrientes,68,DMC,8,2025/26,whoscored,La Liga
459677,Pablo Marín,68,DMC,28,2025/26,whoscored,La Liga
377285,Takefusa Kubo,68,AMR,14,2025/26,whoscored,La Liga
344542,Brais Méndez,68,AMC,23,2025/26,whoscored,La Liga
367857,Ander Barrenetxea,68,AML,7,2025/26,whoscored,La Liga
298839,Mikel Oyarzabal,68,FW,10,2025/26,whoscored,La Liga
428066,Orri Óskarsson,68,Sub,9,2025/26,whoscored,La Liga
247995,Gonçalo Guedes,68,Sub,11,2025/26,whoscored,La Liga
355110,Sergio Gómez,68,Sub,17,2025/26,whoscored,La Liga
401173,Urko González de Zárate,68,Sub,15,2025/26,whoscored,La Liga
256864,Aritz Elustondo,68,Sub,6,2025/26,whoscored,La Liga
407080,Luka Sucic,68,Sub,24,2025/26,whoscored,La Liga
289018,Hamari Traoré,68,Sub,18,2025/26,whoscored,La Liga
408252,Unai Marrero,68,Sub,13,2025/26,whoscored,La Liga
423913,Jon Karrikaburu,68,Sub,19,2025/26,whoscored,La Liga
495459,Jon Martín,68,Sub,31,2025/26,whoscored,La Liga
546571,Mikel Goti,68,Sub,22,2025/26,whoscored,La Liga
273453,Josan,833,Sub,17,2025/26,whoscored,La Liga
81523,Mathew Ryan,832,GK,13,2025/26,whoscored,La Liga
413346,Jon Olasagasti,832,Sub,8,2025/26,whoscored,La Liga
423420,Leo Román,51,GK,1,2025/26,whoscored,La Liga
384368,Mateu Morey,51,DR,2,2025/26,whoscored,La Liga
142387,Martin Valjent,51,DC,24,2025/26,whoscored,La Liga
294006,Antonio Raíllo,51,DC,21,2025/26,whoscored,La Liga
135098,Johan Mojica,51,DL,22,2025/26,whoscored,La Liga
115996,Omar Mascarell,51,DMC,5,2025/26,whoscored,La Liga
425092,Antonio Sánchez,51,DMC,6,2025/26,whoscored,La Liga
126316,Takuma Asano,51,AMR,11,2025/26,whoscored,La Liga
445092,Pablo Torre,51,AMC,20,2025/26,whoscored,La Liga
106596,Sergi Darder,51,AML,10,2025/26,whoscored,La Liga
463233,Mateo Joseph,51,FW,18,2025/26,whoscored,La Liga
343778,Marash Kumbulla,51,Sub,4,2025/26,whoscored,La Liga
6227,Dani Rodríguez,51,Sub,14,2025/26,whoscored,La Liga
9270,Abdón Prats,51,Sub,9,2025/26,whoscored,La Liga
537076,Marc Domenech,51,Sub,30,2025/26,whoscored,La Liga
537870,Jan Salas,51,Sub,28,2025/26,whoscored,La Liga
445866,Daniel Luna,51,Sub,29,2025/26,whoscored,La Liga
424586,Lucas Bergström,51,Sub,31,2025/26,whoscored,La Liga
536926,Iliesse Salhi,51,Sub,26,2025/26,whoscored,La Liga
312580,Toni Lato,51,Sub,3,2025/26,whoscored,La Liga
11188,Pichu,51,Sub,13,2025/26,whoscored,La Liga
428593,Javi Llabrés,51,Sub,19,2025/26,whoscored,La Liga
502424,David López,51,Sub,27,2025/26,whoscored,La Liga
84008,Marcos Alonso,62,DC,20,2025/26,whoscored,La Liga
403865,Yéremy Pino,839,ML,21,2025/26,whoscored,La Liga
97659,Gerard Moreno,839,FW,7,2025/26,whoscored,La Liga
538494,Pau Cabanes,839,Sub,33,2025/26,whoscored,La Liga
544392,Rubén Gómez,839,Sub,31,2025/26,whoscored,La Liga
544767,Jean Valou,839,Sub,27,2025/26,whoscored,La Liga
463821,Alberto Reina,61,DMC,5,2025/26,whoscored,La Liga
461767,Borja Sánchez,61,Sub,16,2025/26,whoscored,La Liga
421998,Brandon Dominguès,61,Sub,17,2025/26,whoscored,La Liga
448455,Álex Cardero,61,Sub,27,2025/26,whoscored,La Liga
543207,Miguel Narváez,61,Sub,26,2025/26,whoscored,La Liga
578034,Cheli Pereda,61,Sub,31,2025/26,whoscored,La Liga
259393,Marko Dmitrovic,70,GK,13,2025/26,whoscored,La Liga
449410,Omar El Hilali,70,DR,23,2025/26,whoscored,La Liga
362354,Fernando Calero,70,DC,5,2025/26,whoscored,La Liga
73265,Leandro Cabrera,70,DC,6,2025/26,whoscored,La Liga
468931,Carlos Romero,70,DL,22,2025/26,whoscored,La Liga
335696,Edu Expósito,70,DMC,8,2025/26,whoscored,La Liga
382157,Pol Lozano,70,DMC,10,2025/26,whoscored,La Liga
398922,Tyrhys Dolan,70,AMR,24,2025/26,whoscored,La Liga
140772,Pere Milla,70,AMC,11,2025/26,whoscored,La Liga
362423,Javi Puado,70,AML,7,2025/26,whoscored,La Liga
79840,Kike García,70,FW,19,2025/26,whoscored,La Liga
357118,Miguel Rubio,70,Sub,15,2025/26,whoscored,La Liga
444244,Ramon Terrats,70,Sub,14,2025/26,whoscored,La Liga
438959,Luca Koleosho,70,Sub,16,2025/26,whoscored,La Liga
448296,Roberto Fernández,70,Sub,9,2025/26,whoscored,La Liga
419935,Clemens Riedel,70,Sub,38,2025/26,whoscored,La Liga
426757,Rubén Sánchez,70,Sub,2,2025/26,whoscored,La Liga
430451,Jofre Carreras,70,Sub,17,2025/26,whoscored,La Liga
402092,José Salinas,70,Sub,12,2025/26,whoscored,La Liga
506011,Antoniu Roca,70,Sub,20,2025/26,whoscored,La Liga
449409,Ángel Fortuño,70,Sub,1,2025/26,whoscored,La Liga
316532,Charles Pickel,70,Sub,18,2025/26,whoscored,La Liga
430907,Iker Benito,131,Sub,2,2025/26,whoscored,La Liga
541871,Jon Gorrotxategi,68,Sub,4,2025/26,whoscored,La Liga
400185,Arsen Zakharyan,68,Sub,21,2025/26,whoscored,La Liga
531460,Rafel Bauzà,70,Sub,28,2025/26,whoscored,La Liga
555136,Roger Hinojo,70,Sub,31,2025/26,whoscored,La Liga
413758,Pablo Ramón,70,Sub,4,2025/26,whoscored,La Liga
332823,Unai Simón,53,GK,1,2025/26,whoscored,La Liga
422820,Jesús Areso,53,DR,12,2025/26,whoscored,La Liga
357839,Dani Vivian,53,DC,3,2025/26,whoscored,La Liga
402663,Aitor Paredes,53,DC,4,2025/26,whoscored,La Liga
56057,Yuri Berchiche,53,DL,17,2025/26,whoscored,La Liga
106586,Íñigo Ruíz de Galarreta,53,DMC,16,2025/26,whoscored,La Liga
511120,Mikel Jauregizar,53,DMC,18,2025/26,whoscored,La Liga
255182,Iñaki Williams,53,AMR,9,2025/26,whoscored,La Liga
238899,Alex Berenguer,53,AMC,7,2025/26,whoscored,La Liga
408449,Nico Williams,53,AML,10,2025/26,whoscored,La Liga
541704,Maroan Sannadi,53,FW,21,2025/26,whoscored,La Liga
261516,Mikel Vesga,53,Sub,6,2025/26,whoscored,La Liga
362602,Gorka Guruzeta,53,Sub,11,2025/26,whoscored,La Liga
381510,Oihan Sancet,53,Sub,8,2025/26,whoscored,La Liga
414643,Beñat Prados,53,Sub,24,2025/26,whoscored,La Liga
480619,Unai Gómez,53,Sub,20,2025/26,whoscored,La Liga
575503,Jon de Luis,53,Sub,34,2025/26,whoscored,La Liga
291686,Íñigo Lekue,53,Sub,15,2025/26,whoscored,La Liga
345908,Andoni Gorosabel,53,Sub,2,2025/26,whoscored,La Liga
400237,Robert Navarro,53,Sub,23,2025/26,whoscored,La Liga
423109,Nico Serrano,53,Sub,22,2025/26,whoscored,La Liga
449383,Álex Padilla,53,Sub,27,2025/26,whoscored,La Liga
515307,Adama Boiro,53,Sub,19,2025/26,whoscored,La Liga
303629,Augusto Batalla,64,GK,13,2025/26,whoscored,La Liga
372331,Andrei Ratiu,64,DR,2,2025/26,whoscored,La Liga
80758,Florian Lejeune,64,DC,24,2025/26,whoscored,La Liga
294744,Luiz Felipe,64,DC,5,2025/26,whoscored,La Liga
448468,Pep Chavarría,64,DL,3,2025/26,whoscored,La Liga
422959,Isi Palazón,64,MR,7,2025/26,whoscored,La Liga
422963,Pathé Ciss,64,MC,6,2025/26,whoscored,La Liga
236575,Unai López,64,MC,17,2025/26,whoscored,La Liga
135345,Álvaro García,64,ML,18,2025/26,whoscored,La Liga
448514,Pedro Díaz,64,AMC,4,2025/26,whoscored,La Liga
386230,Jorge de Frutos,64,FW,19,2025/26,whoscored,La Liga
16942,Óscar Trejo,64,Sub,8,2025/26,whoscored,La Liga
444265,Fran Pérez,64,Sub,21,2025/26,whoscored,La Liga
294123,Gerard Gumbau,64,Sub,15,2025/26,whoscored,La Liga
