whoscored_match_id,season,match_date,attendance,competition
1914143,2025/26,2026-03-02,65104,La Liga
1914144,2025/26,2026-03-01,44415,La Liga
1914145,2025/26,2026-03-07,50629,La Liga
1914146,2025/26,2026-03-07,60788,La Liga
1914147,2025/26,2026-03-06,22048,La Liga
1914148,2025/26,2026-01-17,60138,La Liga
1914149,2025/26,2026-01-18,20835,La Liga
1914150,2025/26,2026-01-19,22594,La Liga
1914151,2025/26,2026-01-16,28451,La Liga
1914152,2025/26,2026-01-18,8361,La Liga
1914153,2025/26,2026-01-17,20651,La Liga
1914154,2025/26,2026-02-01,71051,La Liga
1914155,2025/26,2026-02-08,15960,La Liga
1914156,2025/26,2026-02-08,46487,La Liga
1914157,2025/26,2026-02-08,65210,La Liga
1914158,2025/26,2026-02-07,44301,La Liga
1914159,2025/26,2026-02-06,18705,La Liga
1914160,2025/26,2026-02-07,30187,La Liga
1914161,2025/26,2026-02-09,16825,La Liga
1914162,2025/26,2026-03-20,18032,La Liga
1914163,2025/26,2026-03-22,47723,La Liga
1914164,2025/26,2026-03-21,25462,La Liga
1914165,2025/26,2026-03-22,56812,La Liga
1914166,2025/26,2026-03-21,27577,La Liga
1914167,2025/26,2026-03-21,19398,La Liga
1914168,2025/26,2026-03-21,35031,La Liga
1914169,2025/26,2026-04-05,17736,La Liga
1914170,2025/26,2026-03-22,20260,La Liga
1914171,2025/26,2026-04-04,67710,La Liga
1914172,2025/26,2026-03-22,77964,La Liga
1914173,2025/26,2026-04-04,54444,La Liga
1914174,2025/26,2026-03-21,20975,La Liga
1914175,2025/26,2026-04-06,12008,La Liga
1914176,2025/26,2026-04-11,27795,La Liga
1914177,2025/26,2026-04-12,16323,La Liga
1914178,2025/26,2026-04-04,23015,La Liga
1914179,2025/26,2026-04-11,31024,La Liga
1914180,2025/26,2026-04-05,24921,La Liga
1914181,2025/26,2026-04-11,29723,La Liga
1914182,2025/26,2026-04-05,7749,La Liga
1914183,2025/26,2026-04-12,20080,La Liga
1914184,2025/26,2026-05-02,22743,La Liga
1914185,2025/26,2026-04-05,43764,La Liga
1914186,2025/26,2026-04-13,18155,La Liga
1914187,2025/26,2026-05-02,17169,La Liga
1914188,2025/26,2026-04-10,70885,La Liga
1914189,2025/26,2026-05-04,40792,La Liga
1914190,2025/26,2026-04-25,16167,La Liga
1914191,2025/26,2026-04-03,11182,La Liga
1914192,2025/26,2026-05-10,46880,La Liga
1914193,2025/26,2026-04-24,54348,La Liga
1914194,2025/26,2026-04-04,27000,La Liga
1914195,2025/26,2026-05-09,52643,La Liga
1914196,2025/26,2026-04-27,25526,La Liga
1914197,2025/26,2026-04-12,42981,La Liga
1914198,2025/26,2026-05-10,62213,La Liga
1914199,2025/26,2026-04-26,20541,La Liga
1914200,2025/26,2026-04-11,60736,La Liga
1914201,2025/26,2026-05-08,19974,La Liga
1914202,2025/26,2026-04-26,12845,La Liga
1914203,2025/26,2026-04-12,20360,La Liga
1914204,2025/26,2026-05-10,19663,La Liga
1914205,2025/26,2026-04-25,56598,La Liga
1914206,2025/26,2026-05-09,22936,La Liga
1914207,2025/26,2026-04-25,9487,La Liga
1914208,2025/26,2026-04-26,16895,La Liga
1914209,2025/26,2026-05-09,28617,La Liga
1914210,2025/26,2026-04-26,25615,La Liga
1914211,2025/26,2026-05-09,39086,La Liga
1914212,2025/26,2026-05-10,19134,La Liga
1914213,2025/26,2026-04-25,44394,La Liga
1914214,2025/26,2026-04-21,47500,La Liga
1914215,2025/26,2026-05-11,11783,La Liga
1914216,2025/26,2026-04-22,59034,La Liga
1914217,2025/26,2026-05-13,19138,La Liga
1914218,2025/26,2026-04-23,22209,La Liga
1914219,2025/26,2026-05-12,51035,La Liga
1914220,2025/26,2026-04-21,20103,La Liga
1914221,2025/26,2026-05-12,19185,La Liga
1914222,2025/26,2026-04-23,27092,La Liga
1914223,2025/26,2026-05-13,7238,La Liga
1914224,2025/26,2026-04-21,61468,La Liga
1914225,2025/26,2026-05-14,12519,La Liga
1914226,2025/26,2026-04-22,27587,La Liga
1914227,2025/26,2026-05-13,29943,La Liga
1914228,2025/26,2026-04-21,11934,La Liga
1914229,2025/26,2026-05-12,18647,La Liga
1914230,2025/26,2026-04-23,11605,La Liga
