id_sofascore,match_date,competition,season,home_team_id_ss,away_team_id_ss,home_team_name,away_team_name,home_score,away_score,data_source
14062177,2026-01-17,Bundesliga,Bundesliga 25/26,2676,2527,Hamburger SV,Borussia M'gladbach,0.0,0.0,sofascore
14062175,2026-01-17,Bundesliga,Bundesliga 25/26,2569,2681,TSG Hoffenheim,Bayer 04 Leverkusen,1.0,0.0,sofascore
14062168,2026-01-17,Bundesliga,Bundesliga 25/26,2673,2526,Borussia Dortmund,FC St. Pauli,3.0,2.0,sofascore
14062170,2026-01-17,Bundesliga,Bundesliga 25/26,36360,2672,RB Leipzig,FC Bayern München,1.0,5.0,sofascore
14062171,2026-01-18,Bundesliga,Bundesliga 25/26,2677,2547,VfB Stuttgart,1. FC Union Berlin,1.0,1.0,sofascore
14065159,2025-11-29,Bundesliga,Bundesliga 25/26,2534,2671,SV Werder Bremen,1. FC Köln,1.0,1.0,sofascore
14065164,2025-11-29,Bundesliga,Bundesliga 25/26,2547,5885,1. FC Union Berlin,1. FC Heidenheim,1.0,2.0,sofascore
14065156,2025-11-29,Bundesliga,Bundesliga 25/26,2672,2526,FC Bayern München,FC St. Pauli,3.0,1.0,sofascore
14065158,2025-11-29,Bundesliga,Bundesliga 25/26,2681,2673,Bayer 04 Leverkusen,Borussia Dortmund,1.0,2.0,sofascore
14065162,2025-11-30,Bundesliga,Bundesliga 25/26,2676,2677,Hamburger SV,VfB Stuttgart,2.0,1.0,sofascore
14065157,2025-11-30,Bundesliga,Bundesliga 25/26,2674,2524,Eintracht Frankfurt,VfL Wolfsburg,1.0,1.0,sofascore
14065160,2025-11-30,Bundesliga,Bundesliga 25/26,2538,2556,SC Freiburg,1. FSV Mainz 05,4.0,0.0,sofascore
14065165,2025-12-05,Bundesliga,Bundesliga 25/26,2556,2527,1. FSV Mainz 05,Borussia M'gladbach,0.0,1.0,sofascore
14065171,2025-12-06,Bundesliga,Bundesliga 25/26,2671,2526,1. FC Köln,FC St. Pauli,1.0,1.0,sofascore
14065173,2025-12-06,Bundesliga,Bundesliga 25/26,5885,2538,1. FC Heidenheim,SC Freiburg,2.0,1.0,sofascore
14065170,2025-12-06,Bundesliga,Bundesliga 25/26,2524,2547,VfL Wolfsburg,1. FC Union Berlin,3.0,1.0,sofascore
14065169,2025-12-06,Bundesliga,Bundesliga 25/26,2600,2681,FC Augsburg,Bayer 04 Leverkusen,2.0,0.0,sofascore
14065168,2025-12-06,Bundesliga,Bundesliga 25/26,2677,2672,VfB Stuttgart,FC Bayern München,0.0,5.0,sofascore
14065167,2025-12-06,Bundesliga,Bundesliga 25/26,36360,2674,RB Leipzig,Eintracht Frankfurt,6.0,0.0,sofascore
14065172,2025-12-07,Bundesliga,Bundesliga 25/26,2676,2534,Hamburger SV,SV Werder Bremen,3.0,2.0,sofascore
14065161,2025-12-07,Bundesliga,Bundesliga 25/26,2673,2569,Borussia Dortmund,TSG Hoffenheim,2.0,0.0,sofascore
14062138,2025-12-12,Bundesliga,Bundesliga 25/26,2547,36360,1. FC Union Berlin,RB Leipzig,3.0,1.0,sofascore
14062155,2025-12-13,Bundesliga,Bundesliga 25/26,2526,5885,FC St. Pauli,1. FC Heidenheim,2.0,1.0,sofascore
14062139,2025-12-13,Bundesliga,Bundesliga 25/26,2569,2676,TSG Hoffenheim,Hamburger SV,4.0,1.0,sofascore
14062146,2025-12-13,Bundesliga,Bundesliga 25/26,2527,2524,Borussia M'gladbach,VfL Wolfsburg,1.0,3.0,sofascore
14065176,2025-12-13,Bundesliga,Bundesliga 25/26,2674,2600,Eintracht Frankfurt,FC Augsburg,1.0,0.0,sofascore
14065175,2025-12-13,Bundesliga,Bundesliga 25/26,2681,2671,Bayer 04 Leverkusen,1. FC Köln,2.0,0.0,sofascore
