id_transfermarkt,canonical_name,nationality,birth_date,position,competition,team_name,team_slug,team_id_tm,season,source
819215,Julien Duranville,Bélgica,2006-05-05,,Champions League,Borussia Dortmund,borussia-dortmund,16,2025,transfermarkt
819383,Arnas Voitinovičius,Lituania,2006-08-30,,Champions League,SL Benfica,benfica-lissabon,294,2025,transfermarkt
820633,Coli Saco,Malí,2002-05-15,,Champions League,SSC Nápoles,ssc-neapel,6195,2025,transfermarkt
822959,Tom Bischof,Alemania,2005-06-28,Mediocentro,Champions League,Bayern Múnich,fc-bayern-munchen,27,2025,transfermarkt
825443,Bilal Laurendon,Marruecos,2006-02-15,,Champions League,París Saint-Germain FC,fc-paris-saint-germain,583,2025,transfermarkt
827435,Max Merrick,Inglaterra,2005-11-10,,Champions League,Chelsea FC,fc-chelsea,631,2025,transfermarkt
827734,Ange-Yoan Bonny,Costa de Marfil,2003-10-25,Delantero centro,Champions League,Inter de Milán,inter-mailand,46,2025,transfermarkt
830365,Alisson Santos,Brasil,2002-09-27,,Champions League,Sporting de Lisboa,sporting-lissabon,336,2025,transfermarkt
834470,Dani Rodríguez,España,2005-08-09,,Champions League,FC Barcelona,fc-barcelona,131,2025,transfermarkt
834483,Álex Padilla,México,2003-09-01,Portero,Champions League,Athletic Club,athletic-bilbao,621,2025,transfermarkt
834485,Unai Egiluz,España,2002-03-19,Defensa central,Champions League,Athletic Club,athletic-bilbao,621,2025,transfermarkt
834488,Aimar Duñabeitia,España,2003-02-26,,Champions League,Athletic Club,athletic-bilbao,621,2025,transfermarkt
834491,Alejandro Rego,España,2003-06-11,Mediocentro,Champions League,Athletic Club,athletic-bilbao,621,2025,transfermarkt
834752,Unai Gómez,España,2003-05-25,Mediocentro ofensivo,Champions League,Athletic Club,athletic-bilbao,621,2025,transfermarkt
839535,Daniel Toula,República Checa,2005-02-19,,Champions League,SK Slavia Praga,sk-slavia-prag,62,2025,transfermarkt
843595,Max Alleyne,Inglaterra,2005-07-21,Defensa central,Champions League,Manchester City,manchester-city,281,2025,transfermarkt
843597,Louie Copley,Inglaterra,2006-10-20,,Champions League,Arsenal FC,fc-arsenal,11,2025,transfermarkt
844637,Marc Pubill,España,2003-06-20,Defensa central,Champions League,Atlético de Madrid,atletico-madrid,13,2025,transfermarkt
845289,James McConnell,Inglaterra,2004-09-13,,Champions League,Liverpool FC,fc-liverpool,31,2025,transfermarkt
845654,Kenan Yıldız,Turquía,2005-05-04,Extremo izquierdo,Champions League,Juventus de Turín,juventus-turin,506,2025,transfermarkt
846310,Oscar Højlund,Dinamarca,2005-01-04,Mediocentro,Champions League,Eintracht Fráncfort​​,eintracht-frankfurt,24,2025,transfermarkt
848437,Harrison Dudziak,Inglaterra,2006-01-09,,Champions League,Arsenal FC,fc-arsenal,11,2025,transfermarkt
848753,Tommy Setford,Inglaterra,2006-03-13,,Champions League,Arsenal FC,fc-arsenal,11,2025,transfermarkt
848856,Junnosuke Suzuki,Japón,2003-07-12,Defensa central,Champions League,FC Copenhague,fc-kopenhagen,190,2025,transfermarkt
848875,Diego Callai,Brasil,2004-07-18,,Champions League,Sporting de Lisboa,sporting-lissabon,336,2025,transfermarkt
851551,Ognjen Mimović,Serbia,2004-08-17,Lateral derecho,Champions League,Pafos FC,pafos-fc,45457,2025,transfermarkt
855015,Farès Chaïbi,Argelia,2002-11-28,Mediocentro ofensivo,Champions League,Eintracht Fráncfort​​,eintracht-frankfurt,24,2025,transfermarkt
857792,Ted Curd,Inglaterra,2006-02-14,,Champions League,Chelsea FC,fc-chelsea,631,2025,transfermarkt
857818,Yáser Asprilla,Colombia,2003-11-19,Extremo derecho,Champions League,Galatasaray,galatasaray-istanbul,141,2025,transfermarkt
858389,Aleksandr Mrynskiy,Kazajistán,2004-07-15,Lateral derecho,Champions League,Kairat Almaty,kairat-almaty,10482,2025,transfermarkt
