understat_player_id,player_name,team_name,competition,season,source
6722,Konstantinos Mavropanos,West Ham,Premier League,2025_2026,understat
675,Jack Grealish,Everton,Premier League,2025_2026,understat
6756,Dwight McNeil,Everton,Premier League,2025_2026,understat
6807,Jaka Bijol,Leeds,Premier League,2025_2026,understat
6816,Jean-Clair Todibo,West Ham,Premier League,2025_2026,understat
6818,James Maddison,Tottenham,Premier League,2025_2026,understat
6820,David Brooks,Bournemouth,Premier League,2025_2026,understat
6835,Tom Cairney,Fulham,Premier League,2025_2026,understat
6837,Ryan Sessegnon,Fulham,Premier League,2025_2026,understat
6852,Matt Doherty,Wolverhampton Wanderers,Premier League,2025_2026,understat
6857,Morgan Gibbs-White,Nottingham Forest,Premier League,2025_2026,understat
6885,Axel Disasi,West Ham,Premier League,2025_2026,understat
6888,William Saliba,Arsenal,Premier League,2025_2026,understat
6912,Pedro Porro,Tottenham,Premier League,2025_2026,understat
6935,Naif Aguerd,West Ham,Premier League,2025_2026,understat
6937,Georginio Rutter,Brighton,Premier League,2025_2026,understat
695,Bertrand Traoré,Sunderland,Premier League,2025_2026,understat
6963,Justin Kluivert,Bournemouth,Premier League,2025_2026,understat
702,Tammy Abraham,Aston Villa,Premier League,2025_2026,understat
7075,Borna Sosa,Crystal Palace,Premier League,2025_2026,understat
7078,Sean Longstaff,Leeds,Premier League,2025_2026,understat
7080,Matheus Cunha,Manchester United,Premier League,2025_2026,understat
7083,Christian Nørgaard,Arsenal,Premier League,2025_2026,understat
7134,Marc Cucurella,Chelsea,Premier League,2025_2026,understat
7148,Wilson Isidor,Sunderland,Premier League,2025_2026,understat
7166,Mathias Jensen,Brentford,Premier League,2025_2026,understat
7208,Samuel Chukwueze,Fulham,Premier League,2025_2026,understat
7218,Cristian Romero,Tottenham,Premier League,2025_2026,understat
7230,Emile Smith-Rowe,Fulham,Premier League,2025_2026,understat
725,Ola Aina,Nottingham Forest,Premier League,2025_2026,understat
7254,Viktor Gyokeres,Arsenal,Premier League,2025_2026,understat
7268,Bafode Diakite,Bournemouth,Premier League,2025_2026,understat
7281,Diogo Dalot,Manchester United,Premier League,2025_2026,understat
7298,Ben White,Arsenal,Premier League,2025_2026,understat
7322,Bukayo Saka,Arsenal,Premier League,2025_2026,understat
7332,Max Kilman,West Ham,Premier League,2025_2026,understat
7352,Tyler Adams,Bournemouth,Premier League,2025_2026,understat
7365,Lucas Paquetá,West Ham,Premier League,2025_2026,understat
7382,Dan Burn,Newcastle United,Premier League,2025_2026,understat
7432,Reinildo,Sunderland,Premier League,2025_2026,understat
7438,James Garner,Everton,Premier League,2025_2026,understat
7498,Lyle Foster,Burnley,Premier League,2025_2026,understat
7526,Martín Zubimendi,Arsenal,Premier League,2025_2026,understat
7546,Harvey Elliott,Aston Villa,Premier League,2025_2026,understat
7589,Wesley Fofana,Chelsea,Premier League,2025_2026,understat
76,Fabian Schär,Newcastle United,Premier League,2025_2026,understat
7603,Marc Guehi,Crystal Palace,Premier League,2025_2026,understat
766,Jamaal Lascelles,Newcastle United,Premier League,2025_2026,understat
7698,Leandro Trossard,Arsenal,Premier League,2025_2026,understat
7723,John McGinn,Aston Villa,Premier League,2025_2026,understat
7726,Ezri Konsa Ngoyo,Aston Villa,Premier League,2025_2026,understat
7752,Gabriel Martinelli,Arsenal,Premier League,2025_2026,understat
7753,James Justin,Leeds,Premier League,2025_2026,understat
7762,Jean-Ricner Bellegarde,Wolverhampton Wanderers,Premier League,2025_2026,understat
7768,Mason Mount,Manchester United,Premier League,2025_2026,understat
7791,Sebastiaan Bornauw,Leeds,Premier League,2025_2026,understat
780,Karl Darlow,Leeds,Premier League,2025_2026,understat
7814,Taiwo Awoniyi,Nottingham Forest,Premier League,2025_2026,understat
7902,Matthijs de Ligt,Manchester United,Premier League,2025_2026,understat
7908,Marshall Munetsi,Wolverhampton Wanderers,Premier League,2025_2026,understat
7958,Sandro Tonali,Newcastle United,Premier League,2025_2026,understat
8000,Ilia Gruev,Leeds,Premier League,2025_2026,understat
8006,Evann Guessand,Aston Villa,Premier League,2025_2026,understat
8044,Joshua Zirkzee,Manchester United,Premier League,2025_2026,understat
8056,Arnaud Kalimuendo Muinga,Nottingham Forest,Premier League,2025_2026,understat
8067,Reece James,Chelsea,Premier League,2025_2026,understat
8094,Mathis Cherki,Manchester City,Premier League,2025_2026,understat
8117,Nick Woltemade,Newcastle United,Premier League,2025_2026,understat
8127,Amad Diallo Traore,Manchester United,Premier League,2025_2026,understat
8129,Riccardo Calafiori,Arsenal,Premier League,2025_2026,understat
8150,Anthony Gordon,Newcastle United,Premier League,2025_2026,understat
8204,Neco Williams,Nottingham Forest,Premier League,2025_2026,understat
8211,Amine Adli,Bournemouth,Premier League,2025_2026,understat
8214,Tyrick Mitchell,Crystal Palace,Premier League,2025_2026,understat
8252,Nicolás Domínguez,Nottingham Forest,Premier League,2025_2026,understat
8260,Erling Haaland,Manchester City,Premier League,2025_2026,understat
8267,Guido Rodríguez,West Ham,Premier League,2025_2026,understat
8272,João Pedro,Chelsea,Premier League,2025_2026,understat
8285,Sander Berge,Fulham,Premier League,2025_2026,understat
8288,Tomas Soucek,West Ham,Premier League,2025_2026,understat
8327,Bruno Guimarães,Newcastle United,Premier League,2025_2026,understat
833,Virgil van Dijk,Liverpool,Premier League,2025_2026,understat
8351,Ki-Jana Hoever,Wolverhampton Wanderers,Premier League,2025_2026,understat
