understat_shot_id,understat_match_id,understat_player_id,player_name,minute,x,y,xg,result,shot_type,situation,side,season
638147,29163,2290,Iago Aspas,20,0.9680000305175781,0.37799999237060544,0.33815133571624756,SavedShot,LeftFoot,OpenPlay,h,2025
638148,29163,9011,Óscar Mingueza,29,0.8490000152587891,0.34700000762939454,0.07607927918434143,MissedShots,RightFoot,OpenPlay,h,2025
638154,29163,1621,Marcos Alonso,60,0.7719999694824219,0.235,0.0460217259824276,BlockedShot,LeftFoot,DirectFreekick,h,2025
638155,29163,8549,Ferrán Jutglà,63,0.855,0.47400001525878904,0.03019259311258793,MissedShots,Head,FromCorner,h,2025
638156,29163,10143,Bryan Zaragoza,68,0.9019999694824219,0.654000015258789,0.08539044857025146,MissedShots,RightFoot,OpenPlay,h,2025
638157,29163,2290,Iago Aspas,69,0.7769999694824219,0.31,0.021385978907346725,SavedShot,LeftFoot,OpenPlay,h,2025
638158,29163,2290,Iago Aspas,70,0.775,0.3060000038146973,0.016105296090245247,SavedShot,LeftFoot,OpenPlay,h,2025
638160,29163,1621,Marcos Alonso,72,0.6790000152587891,0.6029999923706054,0.009651395492255688,BlockedShot,LeftFoot,OpenPlay,h,2025
638162,29163,11154,Pablo Durán,85,0.9440000152587891,0.6509999847412109,0.012935234233736992,BlockedShot,Head,FromCorner,h,2025
638164,29163,2290,Iago Aspas,94,0.875999984741211,0.4109999847412109,0.0869385153055191,BlockedShot,RightFoot,OpenPlay,h,2025
638165,29163,10143,Bryan Zaragoza,95,0.774000015258789,0.5929999923706055,0.02139553427696228,BlockedShot,RightFoot,FromCorner,h,2025
638145,29163,11349,Mario Martín,3,0.764000015258789,0.6,0.024147076532244682,BlockedShot,RightFoot,OpenPlay,a,2025
638146,29163,3264,Mauro Arambarri,12,0.7969999694824219,0.35200000762939454,0.032889947295188904,MissedShots,RightFoot,FromCorner,a,2025
638149,29163,5065,Diego Rico,36,0.71,0.5170000076293946,0.013809573836624622,MissedShots,LeftFoot,FromCorner,a,2025
