whoscored_match_id,match_date,season,competition,attendance,data_source
1734723,2023-12-04,2023/24,La Liga,17302,whoscored
1734724,2023-09-28,2023/24,La Liga,20192,whoscored
1734725,2023-12-01,2023/24,La Liga,21912,whoscored
1734726,2023-09-26,2023/24,La Liga,19939,whoscored
1734727,2023-12-02,2023/24,La Liga,70685,whoscored
1734728,2023-09-28,2023/24,La Liga,18936,whoscored
1734729,2023-12-03,2023/24,La Liga,15090,whoscored
1734730,2023-09-27,2023/24,La Liga,17188,whoscored
1734731,2023-12-10,2023/24,La Liga,42848,whoscored
1734732,2023-09-27,2023/24,La Liga,44200,whoscored
1734733,2023-12-09,2023/24,La Liga,52756,whoscored
1734734,2023-09-27,2023/24,La Liga,65017,whoscored
1734735,2023-12-10,2023/24,La Liga,18356,whoscored
1734736,2023-09-28,2023/24,La Liga,16852,whoscored
1734737,2023-12-08,2023/24,La Liga,11515,whoscored
1734738,2023-10-01,2023/24,La Liga,14264,whoscored
1734739,2023-12-09,2023/24,La Liga,16041,whoscored
1734740,2023-10-01,2023/24,La Liga,53421,whoscored
1734741,2023-12-09,2023/24,La Liga,15971,whoscored
1734742,2023-09-29,2023/24,La Liga,41116,whoscored
1734743,2023-12-10,2023/24,La Liga,55473,whoscored
1734744,2023-10-01,2023/24,La Liga,50163,whoscored
1734745,2023-12-11,2023/24,La Liga,18324,whoscored
1734746,2023-09-30,2023/24,La Liga,11255,whoscored
1734747,2023-12-11,2023/24,La Liga,11796,whoscored
1734748,2023-09-30,2023/24,La Liga,14184,whoscored
1734749,2023-12-09,2023/24,La Liga,19344,whoscored
1734750,2023-10-01,2023/24,La Liga,19035,whoscored
1734751,2023-12-17,2023/24,La Liga,11936,whoscored
1734752,2023-09-30,2023/24,La Liga,38229,whoscored
1734753,2023-12-16,2023/24,La Liga,48781,whoscored
1734754,2023-10-02,2023/24,La Liga,22472,whoscored
1734755,2023-12-16,2023/24,La Liga,18027,whoscored
1734756,2023-09-30,2023/24,La Liga,11991,whoscored
1734757,2023-12-15,2023/24,La Liga,18586,whoscored
1734758,2023-10-08,2023/24,La Liga,65607,whoscored
1734759,2023-12-17,2023/24,La Liga,70500,whoscored
1734760,2023-10-07,2023/24,La Liga,16438,whoscored
1734761,2023-12-16,2023/24,La Liga,46492,whoscored
1734762,2023-10-08,2023/24,La Liga,17953,whoscored
1734763,2023-12-17,2023/24,La Liga,33172,whoscored
1734764,2023-10-07,2023/24,La Liga,17659,whoscored
1734765,2023-12-17,2023/24,La Liga,25275,whoscored
1734766,2023-10-08,2023/24,La Liga,18288,whoscored
1734767,2023-12-16,2023/24,La Liga,30005,whoscored
1734768,2023-10-06,2023/24,La Liga,43677,whoscored
1734769,2023-10-08,2023/24,La Liga,20354,whoscored
1734770,2023-10-07,2023/24,La Liga,70864,whoscored
1734771,2023-10-07,2023/24,La Liga,35817,whoscored
1734772,2023-10-08,2023/24,La Liga,16249,whoscored
1734773,2023-10-22,2023/24,La Liga,24548,whoscored
1734774,2023-10-22,2023/24,La Liga,12884,whoscored
1734775,2023-10-22,2023/24,La Liga,38194,whoscored
1734776,2023-10-21,2023/24,La Liga,20282,whoscored
1734777,2023-10-21,2023/24,La Liga,13926,whoscored
1734778,2023-10-23,2023/24,La Liga,41647,whoscored
1734779,2023-10-21,2023/24,La Liga,31279,whoscored
1734780,2024-01-26,2023/24,La Liga,13817,whoscored
1734781,2024-05-15,2023/24,La Liga,21301,whoscored
1734782,2024-03-16,2023/24,La Liga,16477,whoscored
1734783,2024-02-02,2023/24,La Liga,47061,whoscored
1734784,2024-05-15,2023/24,La Liga,13027,whoscored
1734785,2024-03-16,2023/24,La Liga,48257,whoscored
1734786,2024-02-04,2023/24,La Liga,53336,whoscored
1734787,2024-05-16,2023/24,La Liga,22606,whoscored
1734788,2024-03-30,2023/24,La Liga,10565,whoscored
1734789,2024-02-03,2023/24,La Liga,13755,whoscored
1734790,2024-05-15,2023/24,La Liga,35805,whoscored
1734791,2024-03-30,2023/24,La Liga,46788,whoscored
1734792,2024-02-05,2023/24,La Liga,12546,whoscored
1734793,2024-05-14,2023/24,La Liga,17852,whoscored
1734794,2024-03-29,2023/24,La Liga,15422,whoscored
1734795,2024-02-03,2023/24,La Liga,17941,whoscored
1734796,2024-05-15,2023/24,La Liga,12738,whoscored
1734797,2024-03-31,2023/24,La Liga,21505,whoscored
1734798,2024-02-03,2023/24,La Liga,19480,whoscored
1734799,2024-05-14,2023/24,La Liga,68954,whoscored
1734800,2024-03-30,2023/24,La Liga,10139,whoscored
1734801,2024-02-03,2023/24,La Liga,42877,whoscored
1734802,2024-05-19,2023/24,La Liga,44717,whoscored
1734803,2024-03-31,2023/24,La Liga,18575,whoscored
1734804,2024-02-04,2023/24,La Liga,76732,whoscored
1734805,2024-05-19,2023/24,La Liga,58401,whoscored
1734806,2024-03-31,2023/24,La Liga,72991,whoscored
1734807,2024-02-04,2023/24,La Liga,17183,whoscored
1734808,2024-05-19,2023/24,La Liga,35823,whoscored
1734809,2024-04-01,2023/24,La Liga,19679,whoscored
1734810,2023-12-18,2023/24,La Liga,11812,whoscored
1734811,2024-02-04,2023/24,La Liga,20030,whoscored
1734812,2024-05-19,2023/24,La Liga,58036,whoscored
1734813,2024-03-31,2023/24,La Liga,12774,whoscored
1734814,2024-02-12,2023/24,La Liga,12863,whoscored
1734815,2023-12-20,2023/24,La Liga,39471,whoscored
1734816,2024-05-19,2023/24,La Liga,18950,whoscored
1734817,2024-03-30,2023/24,La Liga,42567,whoscored
