whoscored_match_id,whoscored_event_id,whoscored_player_id,whoscored_team_id,player_name,event_type,period,minute,second,x,y,end_x,end_y,outcome,season,data_source,source
1901061,2839343443.0,83719.0,777,,Pass,FirstHalf,4,31.0,0.375,0.808,0.379,0.697,Unsuccessful,2025/26,whoscored,whoscored
1901061,2839338843.0,405133.0,300,,Pass,FirstHalf,4,33.0,0.569,0.197,0.575,0.053,Successful,2025/26,whoscored,whoscored
1901061,2839338891.0,386390.0,300,,Pass,FirstHalf,4,35.0,0.638,0.068,0.859,0.086,Successful,2025/26,whoscored,whoscored
1901061,2839338921.0,349184.0,300,,Pass,FirstHalf,4,38.0,0.88,0.097,0.917,0.506,Unsuccessful,2025/26,whoscored,whoscored
1901061,2839338945.0,330505.0,777,,Clearance,FirstHalf,4,40.0,0.067,0.483,0.119,0.759,Successful,2025/26,whoscored,whoscored
1901061,2839339007.0,431666.0,777,,Clearance,FirstHalf,4,44.0,0.119,0.759,0.303,0.825,Successful,2025/26,whoscored,whoscored
1901061,2839339015.0,85070.0,300,,Aerial,FirstHalf,4,44.0,0.696,0.198,,,Successful,2025/26,whoscored,whoscored
1901061,2839339035.0,357956.0,777,,Aerial,FirstHalf,4,44.0,0.304,0.802,,,Unsuccessful,2025/26,whoscored,whoscored
1901061,2839339023.0,85070.0,300,,Pass,FirstHalf,4,44.0,0.695,0.235,0.789,0.182,Unsuccessful,2025/26,whoscored,whoscored
1901061,2839339067.0,327702.0,777,,BallRecovery,FirstHalf,4,47.0,0.268,0.835,,,Successful,2025/26,whoscored,whoscored
1901061,2839339099.0,327702.0,777,,Dispossessed,FirstHalf,4,47.0,0.242,0.93,,,Successful,2025/26,whoscored,whoscored
1901061,2839339109.0,405133.0,300,,Tackle,FirstHalf,4,47.0,0.758,0.07,,,Unsuccessful,2025/26,whoscored,whoscored
1901061,2839339275.0,327702.0,777,,BallTouch,FirstHalf,4,48.0,0.285,0.924,,,Successful,2025/26,whoscored,whoscored
1901061,2839339301.0,349184.0,300,,Pass,FirstHalf,4,56.0,0.777,0.0,0.711,0.171,Successful,2025/26,whoscored,whoscored
1901061,2839339349.0,85070.0,300,,Pass,FirstHalf,4,58.0,0.705,0.26,0.784,0.368,Successful,2025/26,whoscored,whoscored
1901061,2839339355.0,302650.0,300,,BallTouch,FirstHalf,4,59.0,0.813,0.32,,,Unsuccessful,2025/26,whoscored,whoscored
1901061,2839339443.0,572173.0,777,,BallRecovery,FirstHalf,5,3.0,0.094,0.579,,,Successful,2025/26,whoscored,whoscored
1901061,2839339469.0,572173.0,777,,Pass,FirstHalf,5,3.0,0.1,0.599,0.121,0.769,Successful,2025/26,whoscored,whoscored
1901061,2839339515.0,431666.0,777,,Pass,FirstHalf,5,4.0,0.109,0.901,0.569,0.603,Unsuccessful,2025/26,whoscored,whoscored
