whoscored_match_id,venue_name,manager_home,manager_away,ht_score,ft_score,attendance,referee_id_whoscored,referee_name,start_time
1901338,Ennio Tardini,Carlos Cuesta,Cristian Chivu,0 : 1,0 : 2,21601.0,4913,Andrea Colombo,2026-01-07T20:45:00
1901339,Arena Garibaldi Romeo Anconetani,Alberto Gilardino,Cesc Fàbregas,0 : 0,0 : 3,11202.0,386,Luca Pairetto,2026-01-06T15:00:00
1901340,MAPEI Stadium - Città del Tricolore,Fabio Grosso,Luciano Spalletti,0 : 1,0 : 3,19488.0,4910,Luca Zufferli,2026-01-06T20:45:00
1901341,Olimpico Grande Torino,Marco Baroni,Kosta Runjaic,0 : 0,1 : 2,17982.0,388,Fabio Maresca,2026-01-07T20:45:00
1901342,New Balance Arena,Raffaele Palladino,Marco Baroni,1 : 0,2 : 0,,3007,Francesco Fourneau,2026-01-10T20:45:00
1901343,Giuseppe Sinigaglia,Cesc Fàbregas,Vincenzo Italiano,0 : 0,1 : 1,,383,Rosario Abisso,2026-01-10T15:00:00
1901344,Artemio Franchi,Paolo Vanoli,Massimiliano Allegri,0 : 0,1 : 1,22171.0,366,Davide Massa,2026-01-11T15:00:00
1901345,Luigi Ferraris,Daniele De Rossi,Fabio Pisacane,1 : 0,3 : 0,29484.0,400,Federico La Penna,2026-01-12T18:30:00
1901346,Stadio Giuseppe Meazza,Cristian Chivu,Antonio Conte,1 : 1,2 : 2,72567.0,360,Daniele Doveri,2026-01-11T20:45:00
1901347,Allianz Stadium,Luciano Spalletti,Davide Nicola,3 : 0,5 : 0,39585.0,5388,Ermanno Feliciani,2026-01-12T20:45:00
1901348,Stadio Ettore Giardiniero - Via del Mare,Eusebio Di Francesco,Carlos Cuesta,1 : 0,1 : 2,,2987,Livio Marinelli,2026-01-11T12:30:00
1901349,Stadio Olimpico,Gian Piero Gasperini,Fabio Grosso,0 : 0,2 : 0,,4923,Matteo Marcenaro,2026-01-10T18:00:00
1901350,Bluenergy Stadium,Kosta Runjaic,Alberto Gilardino,2 : 1,2 : 2,,3921,Giovanni Ayroldi,2026-01-10T15:00:00
1901351,Stadio Marcantonio Bentegodi,Paolo Zanetti,Maurizio Sarri,0 : 0,0 : 1,22029.0,339,Marco Guida,2026-01-11T18:00:00
1901352,Giovanni Zini,Davide Nicola,Paolo Zanetti,0 : 0,0 : 0,10877.0,6805,Alberto Arena,2026-01-19T18:30:00
1901353,Stadio Olimpico,Maurizio Sarri,Cesc Fàbregas,0 : 2,0 : 3,35000.0,356,Michael Fabbri,2026-01-19T20:45:00
1901354,Stadio Giuseppe Meazza,Massimiliano Allegri,Eusebio Di Francesco,0 : 0,1 : 0,70591.0,4910,Luca Zufferli,2026-01-18T20:45:00
1901355,Diego Armando Maradona,Antonio Conte,Fabio Grosso,1 : 0,1 : 0,40000.0,3007,Francesco Fourneau,2026-01-17T18:00:00
1901356,Ennio Tardini,Carlos Cuesta,Daniele De Rossi,0 : 0,0 : 0,16433.0,386,Luca Pairetto,2026-01-18T12:30:00
1901357,Stadio Ettore Giardiniero - Via del Mare,Eusebio Di Francesco,Kosta Runjaic,1 : 1,2 : 1,24290.0,2811,Antonio Rapuano,2026-02-08T15:00:00
1901358,Stadio Giuseppe Meazza,Massimiliano Allegri,Cesc Fàbregas,0 : 1,1 : 1,75251.0,331,Maurizio Mariani,2026-02-18T20:45:00
1901359,Unipol Domus,Fabio Pisacane,Eusebio Di Francesco,0 : 0,0 : 2,16133.0,5388,Ermanno Feliciani,2026-02-16T20:45:00
1901360,Giuseppe Sinigaglia,Cesc Fàbregas,Paolo Vanoli,0 : 1,1 : 2,11387.0,4416,Matteo Marchetti,2026-02-14T15:00:00
1901361,Giovanni Zini,Davide Nicola,Daniele De Rossi,0 : 0,0 : 0,13128.0,3777,Simone Sozza,2026-02-15T15:00:00
1901362,Stadio Giuseppe Meazza,Cristian Chivu,Luciano Spalletti,1 : 1,3 : 2,75515.0,400,Federico La Penna,2026-02-14T20:45:00
1901363,Stadio Olimpico,Maurizio Sarri,Raffaele Palladino,0 : 1,0 : 2,5131.0,1901,Juan Luca Sacchi,2026-02-14T18:00:00
1901364,Diego Armando Maradona,Antonio Conte,Gian Piero Gasperini,1 : 1,2 : 2,52000.0,4913,Andrea Colombo,2026-02-15T20:45:00
1901365,Ennio Tardini,Carlos Cuesta,Paolo Sammarco,1 : 1,2 : 1,17237.0,386,Luca Pairetto,2026-02-15T15:00:00
1901366,Arena Garibaldi Romeo Anconetani,Oscar Hiljemark,Massimiliano Allegri,0 : 1,1 : 2,12544.0,356,Michael Fabbri,2026-02-13T20:45:00
1901367,Olimpico Grande Torino,Marco Baroni,Vincenzo Italiano,0 : 0,1 : 2,5000.0,3007,Francesco Fourneau,2026-02-15T18:00:00
1901368,Bluenergy Stadium,Kosta Runjaic,Fabio Grosso,1 : 0,1 : 2,21199.0,5380,Maria Ferrieri Caputi,2026-02-15T12:30:00
1901369,New Balance Arena,Raffaele Palladino,Antonio Conte,0 : 1,2 : 1,22015.0,398,Daniele Chiffi,2026-02-22T15:00:00
1901370,Renato Dall'Ara,Vincenzo Italiano,Kosta Runjaic,0 : 0,1 : 0,23238.0,4923,Matteo Marcenaro,2026-02-23T20:45:00
1901371,Unipol Domus,Fabio Pisacane,Maurizio Sarri,0 : 0,0 : 0,15262.0,2811,Antonio Rapuano,2026-02-21T20:45:00
1901372,Artemio Franchi,Paolo Vanoli,Oscar Hiljemark,1 : 0,1 : 0,21896.0,331,Maurizio Mariani,2026-02-23T18:30:00
1901373,Luigi Ferraris,Daniele De Rossi,Marco Baroni,2 : 0,3 : 0,31534.0,339,Marco Guida,2026-02-22T12:30:00
